"e0","year","isono","sexno","ageno","eduno"
76.2,2000,196,1,0,0
76.8,2005,196,1,0,0
77.7,2010,196,1,0,0
64.4,1950,203,1,0,0
66.8,1955,203,1,0,0
67.3,1960,203,1,0,0
66.6,1965,203,1,0,0
66.5,1970,203,1,0,0
67.1,1975,203,1,0,0
67.2,1980,203,1,0,0
67.8,1985,203,1,0,0
68.8,1990,203,1,0,0
70.7,1995,203,1,0,0
72.2,2000,203,1,0,0
73.8,2005,203,1,0,0
75.1,2010,203,1,0,0
32.6,1950,408,1,0,0
47,1955,408,1,0,0
48.4,1960,408,1,0,0
53.9,1965,408,1,0,0
58.2,1970,408,1,0,0
61.5,1975,408,1,0,0
63.5,1980,408,1,0,0
65,1985,408,1,0,0
65.8,1990,408,1,0,0
59.2,1995,408,1,0,0
64.2,2000,408,1,0,0
64.8,2005,408,1,0,0
67.2,2010,408,1,0,0
37.6,1950,180,1,0,0
39.1,1955,180,1,0,0
40.2,1960,180,1,0,0
41.5,1965,180,1,0,0
43.3,1970,180,1,0,0
44.2,1975,180,1,0,0
45.7,1980,180,1,0,0
46.8,1985,180,1,0,0
48.1,1990,180,1,0,0
47.5,1995,180,1,0,0
50.4,2000,180,1,0,0
54,2005,180,1,0,0
56.7,2010,180,1,0,0
69.7,1950,208,1,0,0
70.4,1955,208,1,0,0
70.4,1960,208,1,0,0
70.6,1965,208,1,0,0
70.9,1970,208,1,0,0
71.3,1975,208,1,0,0
71.5,1980,208,1,0,0
71.9,1985,208,1,0,0
72.5,1990,208,1,0,0
73.7,1995,208,1,0,0
75,2000,208,1,0,0
76.4,2005,208,1,0,0
78.1,2010,208,1,0,0
39.7,1950,262,1,0,0
41.6,1955,262,1,0,0
43.9,1960,262,1,0,0
46,1965,262,1,0,0
49.4,1970,262,1,0,0
51,1975,262,1,0,0
53.1,1980,262,1,0,0
54.6,1985,262,1,0,0
55.4,1990,262,1,0,0
55.4,1995,262,1,0,0
55.9,2000,262,1,0,0
57.6,2005,262,1,0,0
60,2010,262,1,0,0
44.7,1950,214,1,0,0
48.6,1955,214,1,0,0
52.1,1960,214,1,0,0
55.4,1965,214,1,0,0
58.1,1970,214,1,0,0
60.3,1975,214,1,0,0
62.1,1980,214,1,0,0
